"Projektitel / Operation name";"Startdato / Operation start date";"Slutdato / Operation end date";"Prioritetsakse / Priority axis";"Budget / Budget";"EU-medfinansiering / Union co-financing";"EU-medfinansieringssats / Union co-financing rate";"Projektbeskrivelse";"Fond / Fund";"Region / Region";"Land / Country";"Kontraktansvarlig partner / Beneficiary name";"Vejnavn / Street name";"Postnr / Operation postcode";"Bynavn / City name";"Koordinat east / Coordinates east";"Koordinat north / Coordinates north";"Kontaktperson / Contacts";"Partere / Project partners"
"Fremtidens Maritime Håndværker";"01.01.2015";"31.08.2018";"4 Uddannelse.
Erhvervsuddannelser";"18.799.069";"9.399.535";"50%";"FREMTIDENS MARITIME HÅNDVÆRKER 
Projektet har til formål at øge antallet af og kompetenceniveauet hos de maritime håndværkere, så virksomhederne i Det Blå Danmark også i fremtiden sikres gode vækstmuligheder. Dette vil ske igennem tre indsatsområder: Målrette og tone erhvervsuddannelser således de i højere grad adresserer de maritime virksomheder kompetencebehovTiltrække flere og dygtigere elever til de erhvervsuddannelser, som er relevante for den maritime sektorOprette flere praktikpladser hos de maritime virksomheder 
Projektet har til hensigt at understøtte implementeringen af erhvervsskolereformen samt løse problematikken med fremtidig mangel på erhvervsuddannede i Region Hovedstaden. Dette vil ske med en indsats i forhold til det maritime erhverv, der er en af Danmarks absolutte stærkeste og mest værdiskabende brancher. Over 40 % af de beskæftigede i Det Blå Danmark har en erhvervsfaglig uddannelse.
Fremtidens Maritime Håndværker understøtter erhvervsskolereformens målsætning om, at flere elever skal vælge en erhvervsuddannelse, at fastholdelsen af elever skal øges, at flere virksomhedspraktikpladser skal skabes samt at alle elever skal udfordres. På den måde vil projektet arbejde på at fastholde kompetenceniveauet og dermed den styrkeposition den maritime klynge i Region Hovedstaden har og samtidig bidrage til at flere unge fuldfører en erhvervsuddannelse.
";"S";"Hovedstaden";"Denmark";"Europas Maritime Udviklingscenter";"Amaliegade 33B";"1256";"København K";"725957.227";"6177063.181";"Henriette Dybkær,53536487,hd@maritimecenter.dk.
Louise Bosen Karlsen,30285538,lbk@maritimecenter.dk.
Louise Bosen Karlsen,30285538,lbk@maritimecenter.dk.
Jan Boyesen,28754081,jb@maritimecenter.dk.
Thomas Rindel,25944423,tri@maritimecenter.dk";""
"Program for iværksættere 2015";"16.09.2014";"31.08.2016";"1 Iværksætteri og jobskabelse.
Iværksætteri";"34.300.000";"11.487.500";"33%";"Program for iværksættere 2015Formålet med Iværksætterprogrammet er at øge iværksætteres etablerings- og overlevelsesrate samt at øge antallet af vækstiværksættere i Region Midtjylland målt på omsætning og beskæftigelse. Projektet tager udgangspunkt i en idé om, at det er muligt at træne og motivere iværksættere til i højere grad at udløse deres virksomheders vækstpotentiale. Målet med Iværksætterprogrammet er, at styrke iværksætternes kompetencer i forhold til at drive og udvikle deres virksomheder - herunder at identificere og understøtte deres mindset for vækst. Desuden er det et delmål at ruste ejerne af yngre vækstvirksomheder til relativt tidligt i virksomhedernes livscyklus at planlægge/påbegynde eksport.De direkte iværksætter-/virksomhedsrelaterede aktivitetsmål i iværksætterprogrammet er: 10 camps med 10 deltagere i hver. 35 vækstforløb, A: 140 vækstforløb, B: 175 vækstforløb, C: 5 vækstgrupper med 10 deltagere i hver, 30 mentorforløb, 2 Platoforløb med 10 deltagere i hver, 50 kapitalcoachforløb og 30 cases præsenteret for BA netværk.Endvidere forventes gennemført 12 moduler i regi af MEA. Iværksætterprogrammet består således af en række aktiviteter, der enkeltvis eller i kombination kan bringes i anvendelse for at imødekomme og understøtte iværksætternes behov i de tidlige faser. Aktiviteterne tager afsæt i Det midtjyske Vækstunivers.Output af programmet forventes at være: 100 iværksættere har deltaget i træningsforløb/camps, 332 iværksættere har deltaget i Vækstforløb, 50 iværksættere har deltaget i vækstgrupper, 20 iværksættere har deltaget i Platoforløb, 30 iværksættere har fået tilknyttet en mentor, 50 iværksættere har fået tilknyttet en kapitalcoach, 30 cases er præsenteret for BA netværk og 12 kompetenceudviklingsmoduler er gennemført
";"S";"Midtjylland";"Denmark";"Væksthus Midtjylland";"Åbogade 15";"8200";"Århus N";"573736.19";"6225873.52";"Anne Kjær Vodder,40681360,akv@vhmidtjylland.dk.
Anna Maria Sønderholm,,ams@vhmidtjylland.dk.
Laila Faartoft,70220076,lft@vhmidtjylland.dk";"CONNECT Denmark.
Herning Kommune.
Keystones"
"Strategisk Kompetenceudvikling";"22.08.2014";"30.06.2017";"1 Iværksætteri og jobskabelse.
Arbejdsstyrkens tilpasn. til forandr";"29.176.000";"14.331.251";"49%";"Projektet Strategisk Kompetenceudvikling uddanner og opkvalificerer min. 190 ejere, ledere og medarbejdere i min. 50 virksomheder i min. 72 forløb til at vælge bedre bestyrelser, udføre bedre ledelse, eksekvere strategier, og sikre fremragende faglighed blandt medarbejdere. Projektet henvender sig til Syddanske små  og mellemstore vækstvirksomheder indenfor Syddansk Vækstforums forretningsområder. Strukturen i projektet opbygges således, at vækstvirksomheder tilbydes et mix af spor med den rette medfinansiering og med dén timing, som vil have den størst mulige væksteffekt for den enkelte virksomhed. Indsatsen består af følgende fire spor: Værdiskabende Bestyrelser: Hvordan sikrer virksomheden, at bestyrelsen bliver værdiskabende, og at det er den rigtige bestyrelse? Personligt Lederskab: Hvordan sikrer man, at chefen også bliver den gode leder? Hvad kræves der for at lede medarbejdere? Hvis chefen ikke skal lede medarbejderne, hvem skal så? Ledelseseksekvering: Hvordan støtter vi virksomhedernes konkrete eksekvering af strategier igennem ledelsesfaglige discipliner? Fremragende Faglighed: Hvordan sikrer vi, at medarbejderne har forudsætningerne for at lykkes med opgaverne i en stadigt mere konkurrencebetonet verden? Hvis den enkelte vækstvirksomhed skal forløse sit vækstpotentiale, hvilke kompetencer skal medarbejderne så konkret have? Til at gennemføre de fire spor vil der blive arbejdet med netværk, workshops, mentorordning, matchmaking mv. Væksthus Syddanmark og øvrige partnere varetager identifikation af virksomheder i målgruppen og afklaringsforløb med henblik på at klarlægge, hvilke af de fire spor virksomheden vil have mest udbytte af  herunder den eventuelle rækkefølge for virksomhedernes deltagelse i flere af sporene. Undervejs følges virksomhederne løbende af en projektkonsulent. Ca. halvdelen af budgettet anvendes til medfinansiering af køb af eksterne eksisterende kursusforløb.
";"S";"Syddanmark";"Denmark";"Væksthus Syddanmark";"Forskerparken 10 C";"5230";"Odense M";"589580.03";"6136799.53";"Kasper Aagaard,25505321,kaa@vhsyd.dk";"Fonden Offshore Center Danmark.
Foreningen Welfare Tech Region.
CLEAN.
Foreningen Design2innovate"
"KOMPAS";"22.08.2014";"31.12.2019";"1 Iværksætteri og jobskabelse.
Arbejdsstyrkens tilpasn. til forandr";"16.613.372";"8.306.686";"50%";"KOMPAS. 
Formålet med projektet er jobskabelse. Projektet skal skabe vækst, produktivitetsforøgelse og beskæftigelse i syddanske SMV´er via en række kompetenceudviklende aktiviteter for de deltagende virksomheder. 
Der gennemføres 200 virksomhedsscreeninger, og 145 SMVer indgår som partnere. Det forventede måltal er 55 skabte akademiske stillinger samt 15 forskningssamarbejder. Dertil kommer, at projektet øger viden- og kompetenceniveau hos estimeret 290 virksomhedsdeltagere i projektperioden. Undersøgelser viser tillige, at ansættelsen af en højtuddannet genererer 2-4 nye jobs, faglærte som ufaglærte. Et konservativt skøn på halvanden medarbejder pr skabt akademisk stilling i projektet, samt forventningen om tilvækst hos virksomheder på baggrund af de kompetenceudviklende aktiviteter, giver en samlet forventet jobskabelseseffekt i KOMPAS på 228 stillinger i projektperioden plus to år.
Aktiviteterne fokuserer på tilførsel af ny viden og akademisk arbejdskraft til SMV'er inden for Vækstforums forretningsområder: Sundheds- og Velfærdsinnovation, Energi og Oplevelseserhverv. 
Projektet centreres om en tæt, løbende kontakt med virksomhederne og bygger på forløb med trinvise effekter. Projektets kerneaktiviteter er virksomhedsscreeninger samt individuelt tilpassede kompetenceforløb for de deltagende virksomheder. Hvert forløb er baseret på en innovations- og kompetenceplan, og tilrettelagt så SMV'en tilføres den viden og de kompetencer, der sætter den i stand til at realisere et identificeret vækstpotentiale  enten via kompetenceudviklende aktiviteter og/eller direkte tilførsel af viden og kompetencer gennem ansættelse af en ny ressource i virksomheden. Dermed stilles SDU's palette af viden til rådighed for den enkelte SMV. Erfaringer viser, at virksomheder opnår de bedste resultater, når de benytter sig af mere end ét videnboost. Forløbet sammensættes ud fra projektets palette af kompetenceudviklende erhvervsevents og rådgivningsforløb målrettet SMVer: Få succes med din akademiker, Innovationscamps, SDU 360 og Boost din akademiker. 
";"S";"Syddanmark";"Denmark";"Syddansk Universitet";"Campusvej 55";"5230";"Odense M";"590487.44";"6136706.94";"Susan Henriksen,65502970,suhe@sdu.dk";"Væksthus Syddanmark"
"Scale-up Denmark";"01.01.2016";"30.06.2019";"2 Flere vækstvirksomheder.
Udvikle og genn.f. nye vækstpl. SMV";"28.067.422";"14.033.711";"50%";"Formålet med Scale-up Denmark er at skabe flere vækstvirksomheder ved at styrke den regionale specialisering inden for erhvervsområdet, så regionernes styrkepositioner understøttes. Initiativet er inspireret af Team Danmarks arbejde med at udvikle topatleter ved at træne de bedste intensivt, så nogle af dem bliver topatler. På samme måde handler Scale-up Denmark om, at de bedste potentielle vækstvirksomheder skal deltage i et træningsforløb, hvor de bliver trænet, så de bliver fremtidens elite indenfor deres område. Her er planen, at 57 virksomheder deltager i forløbet i Region Sjælland. Den forventede effekt af Scale-up Denmark er i Region Sjælland, at de deltagende potentielle vækstvirksomheder alle fortsat opnår en årlig vækst på 20%, efter projektperioden er endt. Dette opnås gennem en tværregional indsats, hvor der i regionen etableres to accelerationsmiljøer. I det første år i projektperioden etableres et accelerationsmiljø inden for bio-økonomi og industriel symbiose. Dernæst ventes det, at der etableres et miljø mere i år 2 af projektperioden inden for enten smart energi, logistik og transport eller bygge- og anlægsbranchen. Indledningsvist rekrutterer og udvælger operatøren potentielle vækstvirksomheder både nationalt og internationalt. Denne brede rekrutteringsindsats er vigtig for at sikre, at de bedste virksomheder med størst vækstpotentiale identificeres og aktiveres. Træningsforløbene bliver målrettet den enkelte virksomheds behov for at sikre, at de får mest muligt ud af træningen. Derefter identificerer operatøren og virksomheden, hvordan et træningsforløb bedst tilrettelægges for dem, så de kan opskalere virksomheden. Relevante aktiviteter i træningsforløbet kan være køb af ekstern rådgivning, medvirken til at skaffe ekstern finansiering, involvering af eksisterende virksomheder eller modning til exit. Involvering af eksisterende virksomheder er her central, da succesen af Scale-up Denmark i høj grad afhænger af, hvor godt økosystemet aktiveres. I løbet af træningsforløbet udarbejdes der endvidere en vækstplan, der kortlægger, hvordan virksomheden skal opskaleres, efter træningsforløbet er endt. Heri kortlægges endvidere, hvordan opskaleringen forventes at komme til udtryk i omsætning, jobskabelse og eksport. Det er ligeledes grundlæggende i Scale-up Denmark, at det er et bæredygtigt initiativ, hvorfor der er fokus på etableringen af en holdbar forretningsmodel, der fortsætter selv efter projektperioden udløber.
";"R";"Sjælland";"Denmark";"Region Midtjylland";"Skottenborg 26";"8800";"Viborg";"524736.32";"6256631.06";"Stefan Knudsen,78411515,stefan.knudsen@ru.rm.dk";""
"Flere unge i erhvervsuddannelse";"04.02.2016";"30.06.2019";"4 Uddannelse.
Erhvervsuddannelser";"19.998.050";"9.999.025";"50%";"Det overordnede formål med indsatsen er at styrke gennemførelsen af EUD-reformen (med ikrafttræden august 2015) i Region Midtjylland. 
Projektet skal derfor at intensivere, styrke og udbygge indsatsen på de 2 primære områder: At flere skal vælge en erhvervsuddannelse direkte efter 9. eller 10. klasse At flere skal fuldføre en erhvervsuddannelse blandt andet via etablering af flere praktikpladser.
Vækstforum for Region Midtjylland har valgt at fokusere indsatsen på 7 kommuner: Herning Holstebro Horsens Randers Silkeborg Viborg Aarhus.
De 7 kommuner ligner ikke hinanden i erhvervsstruktur og uddannelsesmønstre, og der er således rig mulighed for at afprøve forskellige aktiviteter og tilgange til at løse de 2 problematikker. 
Indsatsen gennemføres derfor således:Fase 1 (½ år) er etablering af lokale og tværgående samarbejder, der udvikler de konkrete aktiviteter, som hvert enkelt lokalområde skal gennemføre. Her er det vigtigt at bemærke, at der for hver kommune skal udvikles lokale aktiviteter, der tager hensyn til både uddannelsesmønstre og erhvervsstruktur. Derfor kan indholdet af fase 1 kun beskrives overordnet, idet de lokale aktører selv skal definere vægtningen af indsatser og dermed også opnå ejerskab til de lokale indsatser, der skal finde sted. Hvert lokalområde udarbejder en effektkæde, hvor lokale aktiviteter, deres output og effekter beskrives,Fase 2 (2 år) er gennemførsel af aktiviteterne lokalt og samtidig gennemførsel af tværgående aktiviteter og målinger, der både skal styrke og dokumentere indsatsen.Fase 3 (½ år) indeholder en evaluerings- og implementeringsind-sats, der sikrer, at projektets metoder, værktøjer og resultater fastholdes i de 7 indsatskommuner og efterfølgende udbredes til regionens øvrige kommuner.
Den forventede effekt af projektet er, at antallet af elever, der begynder direkte på erhvervsuddannelse efter grundskolen er øget med 750, og at 475 ekstra elever er i gang med en erhvervsuddannelse umiddelbart efter deltagelsen. Antallet af ekstraordinært indgåede praktikpladser øges med 400. 
";"S";"Midtjylland";"Denmark";"Mercantec";"H.C. Andersens Vej 9";"8800";"Viborg";"";"";"Eva Møller Jensen,89503313,emje@mercantec.dk";""
"Scale-up Denmark";"01.01.2016";"30.06.2019";"2 Flere vækstvirksomheder.
Udvikle og genn.f. nye vækstpl. SMV";"137.132.578";"68.566.289";"50%";"Scale-up Denmark Formålet med Scale-up Denmark er at skabe flere højvækstvirksomheder ved at styrke den regionale specialisering inden for erhvervsområdet, så regionernes styrkepositioner understøttes. Initiativet er inspireret af Team Danmarks arbejde med at udvikle topatleter ved at træne de bedste intensivt, så nogle af dem bliver eliteatler. På samme måde handler Scale-up Denmark om, at de bedste vækstvirksomheder skal deltage i et elitetræningsforløb, hvor de bliver trænet, så de bliver fremtidens elite indenfor deres område. Her er planen, at 298 vækstvirksomheder deltager i forløbet fra Region Midtjylland, Region Hovedstaden, Region Nordjylland og Region Syddanmark. Den forventede effekt af Scale-up Denmark er i de fire regioner, at 75% af de deltagende vækstvirksomheder fortsat opnår en årlig vækst på 20% efter projektperioden er endt. Dette opnås gennem en tværregional indsat, hvor der i regionerne etableres ti accelerationsmiljøer, hvor vækstvirksomheder inden for hver af de regionale specialiseringsområder kan deltage i elitetræningsforløbene. Indledningsvist rekrutterer og udvælger operatørerne vækstvirksomheder både nationalt og internationalt. Denne brede rekrutteringsindsats er vigtig for at sikre, at de bedste vækstvirksomheder med størst vækstpotentiale identificeres og aktiveres. Træningsforløbene bliver målrettet den enkelte virksomheds behov for at sikre, at de får mest muligt ud af træningen, hvor operatørererne og vækstvirksomhederne identificerer, hvordan et træningsforløb bedst tilrettelægges for dem, så de kan opskalere virksomheden mest muligt. Relevante aktiviteter i træningsforløbet kan være køb af ekstern rådgivning, medvirken til at skaffe ekstern finansiering, involvering af eksisterende virksomheder eller modning til exit. Involvering af eksisterende virksomheder er her central, da succesen af Scale-up Denmark i høj grad afhænger af, hvor godt økosystemet aktiveres. I løbet af træningsforløbet udarbejdes der endvidere en vækstplan, der kortlægger, hvordan virksomheden skal opskaleres, efter træningsforløbet er endt. Heri kortlægges endvidere, hvordan opskaleringen forventes at komme til udtryk i omsætning, jobskabelse og eksport. Det er ligeledes grundlæggende i Scale-up Denmark, at det er et bæredygtigt initiativ, hvorfor der er fokus på etableringen af en holdbar forretningsmodel, der fortsætter selv efter projektperioden udløber.
";"R";"Syddanmark";"Denmark";"Region Midtjylland";"Skottenborg 26";"8800";"Viborg";"524736.32";"6256631.06";"Stefan Knudsen,78411515,stefan.knudsen@ru.rm.dk";""
"Operatør på den bornholmske fødevare-klyngeindsats";"01.07.2015";"30.06.2018";"1 Styrket innovation i SMVer.
Innovation og videndeling";"4.199.998";"2.099.998";"50%";"Der etableres et partnerskab mellem Gourmet Bornholm - en del af den regionale madkultur, Bornholms Landbrug samt Bornholms Regionskommune, der udgør kernen i en ny styrket og formaliseret fødevareklynge. En klynge, der tilsammen vil råde over en bred vifte af kompetencer, til gavn for de virksomheder, hvor det er formålet at skabe innovation, udvikling, vækst og beskæftigelse. Fødevareklyngen skal etablere en innovationsplatform, som kan styrke videndeling, proces- og produktudvikling samt høste synergigevinsterne herved.
";"R";"Bornholm";"Denmark";"Bornholms Landbrug";"Rønnevej 1";"3720";"Aakirkeby";"877256.44";"6118784.16";"Klaus Petersen,56907843,khp@bornholmslandbrug.dk.
Elisabeth Falk,56907815,ef@bornholmslandbrug.dk";"Regional madkultur / Gourmet Bornholm"
"Smart Trolley  arbejdsvenlig og energieffektiv multifunktionel sækkevogn til distribution af varer";"22.08.2014";"31.10.2018";"1 Styrket innovation i SMVer.
Innovation og videndeling";"8.441.977";"4.220.989";"50%";"Smart Trolley - arbejdsvenlig og energieffektiv multifunktionel sækkevogn til dstribution af varer.
Visionen for projektet er, at semi-manuel håndtering af varer i forbindelse med distribution i bl.a. bryggeribranchen foregår arbejdsvenligt og energieffektivt. I overensstemmelse hermed er det projektets formål at erhverve ny viden og nye færdigheder, der kan bruges til at udvikle, afprøve og dokumentere effekterne af anvendelsen af et innovativt koncept for en multifunktionel batterielektrisk sækkevogn. Smart Trolley anvendes som hjælperedskab ved distribution af varer, hvor den afhjælper og forebygger mod tunge og gentagne løft, ofte til steder med vanskelig adgang på grund af trappeforhold. Den baseres på et energieffektivt elektrisk koncept, og der skabes et grønt produkt til markedet for ergonomisk korrekt hjælpeudstyr til logistiksektoren med deraf følgende perspektiver for øget vækst og beskæftigelse.
Den multifunktionelle batterielektriske sækkevogn, som bliver udviklet og testet i Smart Trolley projektet består af en platformsenhed samt forskellige værktøjer, der kan monteres på denne. Dette giver et koncept, hvor det er muligt med samme hjælperedskab at udføre flere arbejdsopgaver i forbindelse med distribution af bl.a. bryggeriprodukter.
.
";"R";"Syddanmark";"Denmark";"Smart Trolley IVS";"Nordborgvej 69";"6430";"Nordborg";"550961.555";"6099803.441";"Niels Olesen Nielsen,22 25 64 89,nonielsen@icloud.com";"Syddansk Universitet.
Linak A/S.
CLEAN.
Banke ApS.
Bryggeriet S.C. Fuglsang A/S"
"Future Food Innovation";"15.09.2014";"30.04.2016";"1 Styrket innovation i SMVer.
Innovation og videndeling";"16.475.000";"7.975.000";"48%";"Det overordnede formål er at styrke den innovationsbaserede vækst og øge virksomhedernes innovationskompetencer for at sikre et bæredygtigt og internationalt konkurrencedygtigt fødevareerhverv, med vækst og arbejdspladser til følge. FFI vil sikre effektive og koordinerede innovationssamarbejder for danske fødevarevirksomheder. Det vil bidrage til at øge antallet af innovative SMVer inden for fødevareområdet. FFI vil skabe vedvarende ændringer i de deltagende virksomheders innovationsaktivitet, så deltagelse i innovationsprojekter ikke bliver en enkeltstående event, men en del af virksomhedernes strategi og praksis at være innovationsaktive.  Målene for 2015 er, at FFI øger antallet af innovative SMVer indenfor fødevareerhvervet med følgende aktiviteter:  Rekruttering af virksomheder til innovationssamarbejder. Facilitering og administration af innovative projekter fra fødevarevirksomheder med deltagelse af vidensinstitutioner, som virksomhederne har søgt FFI om støtte til  Løbende monitorering og evaluering af virksomhedernes udbytte af deltagelsen i innovationssamarbejderne under FFI. Det er dokumenteret, at innovative virksomheder generelt øger produktiviteten mere end ikke innovative, og at samarbejde med videninstitutioner styrker implementeringshastigheden og værdiskabelsen.For yderligere info: www.futurefoodinnovation.dk 
";"R";"Midtjylland";"Denmark";"Agro Business Park A/S";"Niels Pedersens Alle 2";"8830";"Tjele";"535628.77";"6260343.28";"Gyda Bay,89992558,gb@agropark.dk";"Teknologisk Institut.
AgroTech A/S.
Aarhus Universitet.
Aarhus Universitet.
VIFU - Videncenter  for Fødevareudvikling.
Danish Food Cluster.
GenoSkan A/S.
KROMA A/S.
Dansk And A/S"
"Vækstfremmende Inkubationsforløb for SMVer";"01.09.2014";"31.08.2016";"1 Iværksætteri og jobskabelse.
Iværksætteri";"18.505.000";"9.252.500";"50%";"Projektets formål og effekt:Projektet har til formål at tilbyde inkubationsforløb for potentielle iværksættere og iværksættervirksomheder på under tre år i Region Sjælland. Alle deltagere skal være i besiddelse af en ambitiøs forretningside med potentiale for vækst. Et inkubationsforløb er et komprimeret og intensivt kompetencegivende forløb på højst 1,5 år, og udbydes til grupper af deltagere som samles på regionens Vækstfabrikker, og her indgår i fælles uddannelse og vejledning. Igennem forløbet kortlægger og overkommer deltagerne individuelle vækstbarrierer ved hjælp af strategiplanlægning og kompetenceløft. Dermed kommer de deltagende iværksættervirksomheder ud på den anden side, og er i fuld gang med implementeringen af en velgennemtænkt og markedsafprøvet strategi- og vækstplan, som kan udløse vækstpotentialet i forretningsideen indenfor parametre som f.eks. internationalisering, produktinnovation, mersalg og rekruttering. 
I projektperioden forventes det, at 160 virksomheder gennemgår et inkubationsforløb, og heraf forventes 127 at opleve forbedrede iværksætterkompetencer og 30 at starte en ny virksomhed som resultat af projektet.
På længere sigt forventes projektet at medvirke til virksomhedernes overlevelse, ved at deltagende virksomheder oplever en overlevelsesprocent på 85 % seks måneder efter projektdeltagelse, og 80 % to år efter projektdeltagelse.
Projektets aktiviteter:Projektet vil udvikle og udbyde fire kompetencegivende tilbud, som tilsammen udgør inkubationsforløbet, og tilrettelægges individuelt fra deltager til deltager: 4 workshops i forretningsudvikling En vækstiværksætteruddannelse med tilhørende overbygningsmodul i ledelse En mentorordning Et innovationsforløb for produktionsvirksomheder
Der aftales ved indledningen af inkubationsforløbet herudover milepæle og vækstmål med deltageren, som der løbende følges op på ved milepælssamtaler. På denne måde sikres virksomhedens udvikling og fremdrift, samt at inkubationsforløbet løbende tilrettelægges på den mest effektive og passende måde for virksomhedens udvikling. 
Partnerkreds:Projektets partnerkreds består af 11 kommuner i region Sjælland, som stiller medfinansiering til rådighed, og som alle har en Vækstfabrik beliggende i kommunen, hvorfra inkubationsforløbene afholdes.Herudover samles en arbejdsgruppe på erhvervsskoler, universiteter og private konsulenter, som tilsammen udvikler og underviser projektets vækstiværksætteruddannelse.
";"S";"Sjælland";"Denmark";"Væksthus Sjælland";"Marienbergvej 132";"4760";"Vordingborg";"685015.4";"6098352.47";"Mads Váczy Kragh,41999800,mvk@vhsj.dk";"Guldborgsund Kommune.
Vordingborg Kommune.
Køge Kommune.
Holbæk Kommune"
